Player,Dist.,2PAtt,0-3Att,3-10Att,10-16Att,16-3PAtt,3PAtt,2PPerc,0-3Perc,3-10Perc,10-16Perc,16-3PPerc,3PPerc
Russell Westbrook,10.8,0.785,0.333,0.232,0.106,0.114,0.215,0.485,0.623,0.388,0.374,0.379,0.298
Malik Monk,16.3,0.465,0.229,0.162,0.034,0.04,0.535,0.568,0.725,0.448,0.393,0.303,0.391
LeBron James,13.8,0.633,0.325,0.141,0.073,0.094,0.367,0.62,0.796,0.465,0.382,0.426,0.359
Carmelo Anthony,19.1,0.451,0.101,0.066,0.152,0.131,0.549,0.521,0.671,0.417,0.5,0.484,0.375
Talen Horton-Tucker,12.8,0.662,0.297,0.204,0.1,0.059,0.338,0.492,0.613,0.409,0.389,0.344,0.269
Austin Reaves,16.6,0.475,0.211,0.157,0.066,0.041,0.525,0.616,0.746,0.56,0.571,0.231,0.317
Avery Bradley,18.1,0.4,0.137,0.091,0.083,0.089,0.6,0.471,0.604,0.281,0.483,0.452,0.39
Anthony Davis,9.6,0.899,0.376,0.193,0.15,0.181,0.101,0.571,0.793,0.485,0.317,0.413,0.186
Stanley Johnson,13.7,0.582,0.243,0.215,0.088,0.036,0.418,0.575,0.738,0.37,0.682,0.444,0.314
Dwight Howard,4.5,0.932,0.63,0.251,0.037,0.014,0.068,0.618,0.732,0.418,0.25,0,0.533
Wayne Ellington,23.4,0.11,0.042,0.025,0.03,0.013,0.89,0.615,0.8,0.667,0.429,0.333,0.389
Kent Bazemore,18.1,0.424,0.173,0.094,0.058,0.101,0.576,0.271,0.333,0.308,0.125,0.214,0.363
Trevor Ariza,19.3,0.253,0.162,0.081,0.01,0,0.747,0.52,0.688,0.25,0,,0.27
DeAndre Jordan,1.8,1,0.798,0.191,0,0.011,0,0.674,0.746,0.412,,0,
D.J. Augustin,21.1,0.209,0.081,0.105,0.012,0.012,0.791,0.556,0.714,0.444,1,0,0.426
Wenyen Gabriel,8.1,0.763,0.485,0.247,0.021,0.01,0.237,0.581,0.723,0.375,0,0,0.261
Rajon Rondo,14.1,0.577,0.254,0.225,0.085,0.014,0.423,0.366,0.611,0.125,0.333,0,0.267
Isaiah Thomas,18.7,0.436,0.103,0.077,0.205,0.051,0.564,0.412,0.5,0,0.625,0,0.227
Mason Jones,10.5,0.733,0.267,0.4,0.067,0,0.267,0.545,0.75,0.5,0,,0.25
Darren Collison,16.1,0.571,0.286,0,0,0.286,0.429,0.5,1,,,0,0
Mac McClung,16.6,0.4,0.4,0,0,0,0.6,0.5,0.5,,,,0.333
Chaundee Brown Jr.,13.2,0.571,0.286,0.143,0.143,0,0.429,0.25,0.5,0,0,,0
Jay Huff,19.9,0.333,0,0.333,0,0,0.667,0,,0,,,0
Sekou Doumbouya,8.9,0.75,0.5,0.25,0,0,0.25,0.667,1,0,,,0.5
Jemerrio Jones,2.7,1,0.667,0.333,0,0,0,0.667,1,0,,,
